name,handedness,height,weight,BMI,avg,HR
Sonny Jackson,L,69,150,22.14870825,0.251,7
Luis Aguayo,R,69,173,25.54484352,0.236,37
Lynn Jones,R,69,175,25.84015963,0.252,7
Ken Suarez,R,69,175,25.84015963,0.227,5
Rick Peters,B,69,170,25.10186936,0.277,2
Jerry Turner,L,69,180,26.57844991,0.257,45
Tommy Harper,R,69,165,24.36357908,0.257,146
Julio Cruz,B,69,165,24.36357908,0.237,23
Bill Sample,R,69,175,25.84015963,0.272,46
Rudy Meoli,L,69,165,24.36357908,0.212,2
Davey Lopes,R,69,170,25.10186936,0.263,155
Jimmie Schaffer,R,69,170,25.10186936,0.223,11
Gil Garrido,R,69,150,22.14870825,0.237,1
Mick Kelleher,R,69,176,25.98781769,0.213,0
Wayne Tolleson,B,69,160,23.6252888,0.241,9
Luis Gomez,R,69,150,22.14870825,0.21,0
Jerry Remy,L,69,165,24.36357908,0.275,7
Jose Cardenal,R,70,150,21.52040816,0.275,138
Buck Martinez,R,70,190,27.25918367,0.225,58
Ted Ford,R,70,180,25.8244898,0.219,17
Gene Locklear,L,70,165,23.67244898,0.274,9
Rich Rollins,R,70,185,26.54183673,0.269,77
Merv Rettenmund,R,70,190,27.25918367,0.271,66
Rusty Torres,B,70,175,25.10714286,0.212,35
Larry Brown,R,70,160,22.95510204,0.233,47
Jim Fairey,L,70,190,27.25918367,0.235,7
Tom Brookens,R,70,165,23.67244898,0.246,71
Bill Wilkinson,R,70,160,22.95510204,0,0
Wayne Comer,R,70,175,25.10714286,0.229,16
Greg Gross,L,70,160,22.95510204,0.287,7
Jack Brohamer,L,70,165,23.67244898,0.245,30
Von Joshua,L,70,170,24.38979592,0.273,30
Cookie Rojas,R,70,160,22.95510204,0.263,54
Barry Raziano,B,70,175,25.10714286,0,0
Chico Salmon,R,70,160,22.95510204,0.249,31
Jorge Orta,L,70,170,24.38979592,0.278,130
Allan Ramirez,R,70,180,25.8244898,0,0
Chuck Schilling,R,70,160,22.95510204,0.239,23
Brian Dubois,L,70,165,23.67244898,0,0
Larry Cox,R,70,178,25.53755102,0.221,12
Jerry White,B,70,164,23.52897959,0.253,21
Angel Mangual,R,70,178,25.53755102,0.245,22
Mike Hershberger,R,70,175,25.10714286,0.252,26
Aurelio Rodriguez,R,70,180,25.8244898,0.237,124
Craig Robinson,R,70,165,23.67244898,0.219,0
Rafael Landestoy,B,70,165,23.67244898,0.237,4
Narciso Elvira,L,70,160,22.95510204,0,0
Vic Correll,R,70,185,26.54183673,0.229,29
Tony Mack,R,70,177,25.39408163,0,0
Coco Laboy,R,70,165,23.67244898,0.233,28
Jim Norris,L,70,175,25.10714286,0.264,7
Jim Pankovits,R,70,170,24.38979592,0.25,9
Dave Chalk,R,70,175,25.10714286,0.252,15
Gene Alley,R,70,160,22.95510204,0.254,55
Ted Sizemore,R,70,165,23.67244898,0.262,23
Mickey Rivers,L,70,165,23.67244898,0.295,61
Pedro Garcia,R,70,175,25.10714286,0.22,37
Bobby Klaus,R,70,170,24.38979592,0.208,6
Ken Landreaux,L,70,165,23.67244898,0.268,91
Bombo Rivera,R,70,187,26.82877551,0.265,10
Bobby Mitchell,L,70,170,24.38979592,0.243,3
Mickey Brantley,R,70,180,25.8244898,0.259,32
Fernando Gonzalez,R,70,165,23.67244898,0.235,17
Luis Encarnacion,R,70,178,25.53755102,0,0
Barbaro Garbey,R,70,170,24.38979592,0.267,11
Jerry Hairston,B,70,170,24.38979592,0.258,30
Fred Stanley,R,70,165,23.67244898,0.216,10
Larry Bowa,B,70,155,22.2377551,0.26,15
Jim Dwyer,L,70,165,23.67244898,0.26,77
George Smith,R,70,170,24.38979592,0.205,9
Alex Trevino,R,70,165,23.67244898,0.249,23
Steve Garvey,R,70,192,27.54612245,0.294,272
Chuck Harrison,R,70,185,26.54183673,0.238,17
Dick Green,R,70,180,25.8244898,0.24,80
Joe Strain,R,70,169,24.24632653,0.25,1
Mike Edwards,R,70,154,22.09428571,0.25,2
Don Wert,R,70,162,23.24204082,0.242,77
Ron Woods,R,70,168,24.10285714,0.233,26
Bob Johnson,R,70,175,25.10714286,0.272,44
Bill Stein,R,70,170,24.38979592,0.267,44
Domingo Ramos,R,70,154,22.09428571,0.24,8
Steve Braun,L,70,180,25.8244898,0.271,52
Brock Davis,L,70,160,22.95510204,0.26,1
Ramon Pena,R,70,155,22.2377551,0,0
Mario Guerrero,R,70,155,22.2377551,0.257,7
Nate Oliver,R,70,160,22.95510204,0.226,2
Biff Pocoroba,B,70,175,25.10714286,0.257,21
Joe Lefebvre,L,70,170,24.38979592,0.258,31
Andre Robertson,R,70,155,22.2377551,0.251,5
Carl Warwick,R,70,170,24.38979592,0.248,31
Len Randle,B,70,169,24.24632653,0.257,27
Dave Nelson,R,70,160,22.95510204,0.244,20
Bryan Little,B,70,160,22.95510204,0.245,3
Rick Burleson,R,70,165,23.67244898,0.273,50
Steve Hovley,L,70,188,26.9722449,0.258,8
Manny Mota,R,70,160,22.95510204,0.304,31
Dave May,L,70,186,26.68530612,0.251,96
Billy Grabarkewitz,R,70,165,23.67244898,0.236,28
Tommy Helms,R,70,165,23.67244898,0.269,34
Ed Ott,L,70,190,27.25918367,0.259,33
Ron Clark,R,70,175,25.10714286,0.189,5
Norm Miller,L,70,185,26.54183673,0.238,24
Ruppert Jones,L,70,170,24.38979592,0.25,147
Winston Llenas,R,70,165,23.67244898,0.23,3
Broderick Perkins,L,70,180,25.8244898,0.271,8
Roy White,B,70,160,22.95510204,0.271,160
Mike Brumley,L,70,195,27.97653061,0.229,5
Al Luplow,L,70,175,25.10714286,0.235,33
Jerry Morales,R,70,155,22.2377551,0.259,95
Jimmy Wynn,R,70,160,22.95510204,0.25,291
Pepe Frias,R,70,159,22.81163265,0.24,1
Bert Campaneris,R,70,160,22.95510204,0.259,79
Bobby Valentine,R,70,189,27.11571429,0.26,12
Sixto Lezcano,R,70,165,23.67244898,0.271,148
Pepe Mangual,R,70,157,22.52469388,0.242,16
Jack Perconte,L,70,160,22.95510204,0.27,2
Jerry Grote,R,70,185,26.54183673,0.252,39
Ron Cey,R,70,185,26.54183673,0.261,316
Bubba Morton,R,70,175,25.10714286,0.267,14
Steve Nicosia,R,70,185,26.54183673,0.248,11
Curt Ford,L,70,150,21.52040816,0.245,7
Jesse Gonder,L,70,180,25.8244898,0.251,26
Bill Sharp,L,70,178,25.53755102,0.255,9
Gail Hopkins,L,70,198,28.40693878,0.266,25
Tom Poquette,L,70,175,25.10714286,0.268,10
Ed Charles,R,70,170,24.38979592,0.263,86
Floyd Rayford,R,70,190,27.25918367,0.244,38
Phil Garner,R,70,175,25.10714286,0.26,109
Todd Fischer,R,70,170,24.38979592,0,0
Joe Nolan,L,71,175,24.40487998,0.263,27
Frank Tepedino,L,71,185,25.79944455,0.241,6
Pete Rose,B,71,192,26.77563975,0.303,160
Bobby Cox,R,71,180,25.10216227,0.225,9
Jerry Buchek,R,71,185,25.79944455,0.22,22
Ivan DeJesus,R,71,175,24.40487998,0.254,21
Eric Soderholm,R,71,187,26.07835747,0.264,102
Wayne Garrett,L,71,175,24.40487998,0.239,61
Bo Diaz,R,71,185,25.79944455,0.255,87
Dal Maxvill,R,71,157,21.89466376,0.217,6
Elliott Maddox,R,71,180,25.10216227,0.261,18
Frank White,R,71,165,23.01031541,0.255,160
Ray Oyler,R,71,165,23.01031541,0.175,15
Steve Jeltz,B,71,180,25.10216227,0.21,5
Lou Brock,L,71,170,23.7075977,0.293,149
Dave Collins,B,71,175,24.40487998,0.272,32
Ed Spiezio,R,71,180,25.10216227,0.238,39
Bobby Cuellar,R,71,188,26.21781393,0,0
Tim Flannery,L,71,175,24.40487998,0.255,9
Eddie Milner,L,71,173,24.12596707,0.253,42
Rich Morales,R,71,170,23.7075977,0.195,6
Johnny Oates,L,71,188,26.21781393,0.25,14
Jim Ray Hart,R,71,185,25.79944455,0.278,170
Junior Moore,R,71,185,25.79944455,0.264,7
Al Downing,R,71,175,24.40487998,0.127,2
Chuck Hiller,L,71,170,23.7075977,0.243,20
Dave Cash,R,71,170,23.7075977,0.283,21
Leon Hooten,R,71,180,25.10216227,0,0
Hal McRae,R,71,180,25.10216227,0.29,191
Greg Thayer,R,71,182,25.38107518,0,0
Rick Bosetti,R,71,185,25.79944455,0.25,17
Tom Makowski,R,71,185,25.79944455,0,0
Mike de la Hoz,R,71,175,24.40487998,0.251,25
Don Mason,L,71,160,22.31303313,0.205,3
Mario Mendoza,R,71,170,23.7075977,0.215,4
Thurman Munson,R,71,190,26.49672684,0.292,113
Jackie Hernandez,R,71,165,23.01031541,0.208,12
U L Washington,B,71,175,24.40487998,0.251,27
Mickey Klutts,R,71,170,23.7075977,0.241,14
Len Whitehouse,L,71,175,24.40487998,0,0
Dick McAuliffe,L,71,176,24.54433644,0.247,197
Jim Morrison,R,71,175,24.40487998,0.26,112
Tom Hutton,L,71,180,25.10216227,0.248,22
Rich Chiles,L,71,170,23.7075977,0.254,6
Oscar Gamble,L,71,160,22.31303313,0.265,200
Joe Pactwa,L,71,185,25.79944455,0,0
Dave Hilton,R,71,191,26.6361833,0.213,6
Gary Allenson,R,71,185,25.79944455,0.221,19
Lafayette Currence,B,71,175,24.40487998,0,0
Tony Chevez,R,71,177,24.6837929,0,0
Doug Camilli,R,71,195,27.19400913,0.199,18
Gary Ignasiak,R,71,185,25.79944455,0,0
John Donaldson,L,71,160,22.31303313,0.238,4
Amos Otis,R,71,165,23.01031541,0.277,193
Doug Flynn,R,71,165,23.01031541,0.238,7
Francisco Barrios,R,71,155,21.61575084,0,0
Bud Harrelson,B,71,160,22.31303313,0.236,7
Carl Yastrzemski,L,71,175,24.40487998,0.285,452
Craig Eaton,R,71,175,24.40487998,0,0
Julio Gonzalez,R,71,162,22.59194604,0.235,4
Gates Brown,L,71,220,30.68042055,0.257,84
Johnny Ray,B,71,170,23.7075977,0.29,53
Billy North,B,71,185,25.79944455,0.261,20
Juan Beniquez,R,71,150,20.91846856,0.274,79
Hector Cruz,R,71,170,23.7075977,0.225,39
Bernie Carbo,L,71,173,24.12596707,0.264,96
Jose Morales,R,71,187,26.07835747,0.287,26
Albert Hall,B,71,155,21.61575084,0.251,5
Tony Arnold,R,71,170,23.7075977,0,0
Tim Corcoran,L,71,175,24.40487998,0.27,12
Rennie Stennett,R,71,160,22.31303313,0.274,41
Rich McKinney,R,71,185,25.79944455,0.225,20
Jose Cecena,R,71,180,25.10216227,0,0
Felix Millan,R,71,172,23.98651061,0.279,22
Jim Gosger,L,71,185,25.79944455,0.226,30
Marvell Wynne,L,71,175,24.40487998,0.247,40
Bob Stinson,B,71,180,25.10216227,0.25,33
Bobby Tolan,L,71,170,23.7075977,0.265,86
Randy Hundley,R,71,170,23.7075977,0.236,82
Jose Tartabull,L,71,165,23.01031541,0.261,2
Lou Johnson,R,71,170,23.7075977,0.258,48
Kiko Garcia,R,71,180,25.10216227,0.239,12
John Stephenson,L,71,180,25.10216227,0.216,12
Buddy Biancalana,B,71,160,22.31303313,0.205,6
Felix Torres,R,71,165,23.01031541,0.254,27
Buddy Bradford,R,71,170,23.7075977,0.226,52
Dan Meyer,L,71,180,25.10216227,0.253,86
Jim Wohlford,R,71,175,24.40487998,0.26,21
Chico Escarrega,R,71,185,25.79944455,0,0
Dave Rosello,R,71,160,22.31303313,0.236,10
Paul Schaal,R,71,165,23.01031541,0.244,57
Tito Landrum,R,71,175,24.40487998,0.249,13
Ray Sadecki,L,71,180,25.10216227,0.191,5
Frank Eufemia,R,71,185,25.79944455,0,0
Jack Lazorko,R,71,200,27.89129141,0,0
Mike Paxton,R,71,190,26.49672684,0,0
George Wright,B,71,180,25.10216227,0.245,42
Tommie Agee,R,71,195,27.19400913,0.255,130
Ted Simmons,B,71,193,26.91509621,0.285,248
Bobby Murcer,L,71,160,22.31303313,0.277,252
Dick Tracewski,R,71,160,22.31303313,0.213,8
Bill Madlock,R,71,180,25.10216227,0.305,163
Carlos Velazquez,R,71,180,25.10216227,0,0
John Castino,R,71,175,24.40487998,0.278,41
Ron Washington,R,71,155,21.61575084,0.261,20
Joe Wallis,B,71,180,25.10216227,0.244,16
Max Alvis,R,71,185,25.79944455,0.247,111
Merritt Ranew,L,71,170,23.7075977,0.247,8
Dan Driessen,L,71,187,26.07835747,0.267,153
Bob Bailor,R,71,170,23.7075977,0.264,9
Tony Armas,R,71,182,25.38107518,0.252,251
Willie Horton,R,71,209,29.14639952,0.273,325
Glen Cook,R,71,180,25.10216227,0,0
Bill Castro,R,71,170,23.7075977,0,0
Jim Campbell,L,71,175,24.40487998,0,0
De Wayne Vaughn,R,71,180,25.10216227,0,0
Charlie Moore,R,71,180,25.10216227,0.261,36
Ralph Garr,L,71,185,25.79944455,0.306,75
Reid Nichols,R,71,165,23.01031541,0.266,22
Paul Wilmet,R,71,170,23.7075977,0,0
Carlos May,L,71,200,27.89129141,0.274,90
Dick Allen,R,71,187,26.07835747,0.292,351
Bob Brower,R,71,185,25.79944455,0.242,17
Garth Iorg,R,71,170,23.7075977,0.258,20
Tim Blackwell,B,71,170,23.7075977,0.228,6
Rey Quinones,R,71,160,22.31303313,0.243,29
Mike Squires,L,71,185,25.79944455,0.26,6
Ed Stroud,L,71,180,25.10216227,0.237,14
Tom Lawless,R,71,170,23.7075977,0.207,2
Dave McNally,R,71,185,25.79944455,0.133,9
Jackie Gutierrez,R,71,175,24.40487998,0.237,4
Junior Kennedy,R,71,175,24.40487998,0.248,4
Vic Harris,B,71,165,23.01031541,0.217,13
Marty Perez,R,71,160,22.31303313,0.246,22
Ed Kirkpatrick,L,71,195,27.19400913,0.238,85
Tito Fuentes,B,71,175,24.40487998,0.268,45
Leo Cardenas,R,71,150,20.91846856,0.257,118
Skip Jutze,R,71,190,26.49672684,0.215,3
Ellie Rodriguez,R,71,185,25.79944455,0.245,16
Ed Romero,R,71,160,22.31303313,0.247,8
Jerry Terrell,R,71,165,23.01031541,0.253,4
Bob Burda,L,71,174,24.26542353,0.224,13
Bob Coluccio,R,71,183,25.52053164,0.22,26
Dave Rader,L,71,165,23.01031541,0.257,30
Alan Bannister,R,71,170,23.7075977,0.27,19
Fritz Peterson,B,72,185,25.08777006,0.159,2
Dick Bertell,R,72,200,27.12191358,0.25,10
John Wockenfuss,R,72,190,25.7658179,0.262,86
Tommy McCraw,L,72,183,24.81655093,0.246,75
Danny Walton,R,72,195,26.44386574,0.223,28
Brad Wellman,R,72,170,23.05362654,0.231,6
Pedro Gonzalez,R,72,176,23.86728395,0.244,8
Ed Brinkman,R,72,170,23.05362654,0.224,60
Kevin Stanfield,L,72,190,25.7658179,0,0
Jim Lyttle,L,72,180,24.40972222,0.248,9
Pat Putnam,L,72,205,27.79996142,0.255,63
Kurt Bevacqua,R,72,180,24.40972222,0.236,27
Jack Heidemann,R,72,175,23.73167438,0.211,9
Hector Torres,R,72,175,23.73167438,0.216,18
Steve Lombardozzi,R,72,175,23.73167438,0.233,20
Joe Azcue,R,72,190,25.7658179,0.252,50
John Stearns,R,72,185,25.08777006,0.26,46
Tommy Dean,R,72,165,22.3755787,0.18,4
Marty Martinez,B,72,170,23.05362654,0.243,0
Jose Roman,R,72,175,23.73167438,0,0
Otto Velez,R,72,170,23.05362654,0.251,78
Tony Scott,B,72,164,22.23996914,0.249,17
Joe Lovitto,B,72,185,25.08777006,0.216,4
Rico Petrocelli,R,72,175,23.73167438,0.251,210
Ken Boswell,L,72,170,23.05362654,0.248,31
Willie Norwood,R,72,185,25.08777006,0.242,18
Jeff Stone,L,72,175,23.73167438,0.277,11
Ramon Manon,R,72,150,20.34143519,0,0
Sal Butera,R,72,190,25.7658179,0.227,8
Angel Salazar,R,72,180,24.40972222,0.212,2
Pat Underwood,L,72,175,23.73167438,0,0
Mike Phillips,L,72,170,23.05362654,0.24,11
Ron Santo,R,72,190,25.7658179,0.277,342
Joel McKeon,L,72,185,25.08777006,0,0
Ken Berry,R,72,175,23.73167438,0.255,58
Mike Richardt,R,72,170,23.05362654,0.226,4
Chris Brown,R,72,185,25.08777006,0.269,38
Bob Didier,B,72,190,25.7658179,0.229,0
Jake Gibbs,L,72,180,24.40972222,0.233,25
Garry Hancock,L,72,175,23.73167438,0.247,12
Billy Conigliaro,R,72,180,24.40972222,0.256,40
Billy Cowan,R,72,170,23.05362654,0.236,40
Jim Lefebvre,B,72,180,24.40972222,0.251,74
Steve Whitaker,L,72,180,24.40972222,0.23,24
Duffy Dyer,R,72,187,25.3589892,0.221,30
Mike Champion,R,72,185,25.08777006,0.229,2
Ralph Botting,L,72,195,26.44386574,0,0
Terry Crowley,L,72,180,24.40972222,0.25,42
Ron Pruitt,R,72,185,25.08777006,0.269,12
Ken Gerhart,R,72,190,25.7658179,0.221,24
Willie Smith,L,72,182,24.68094136,0.248,46
Paul Householder,B,72,180,24.40972222,0.236,29
Jimmy Stewart,B,72,165,22.3755787,0.237,8
Dick Phillips,L,72,180,24.40972222,0.229,12
Frank Taveras,R,72,155,21.01948302,0.255,2
Joe Nossek,R,72,178,24.13850309,0.228,3
Larry Stahl,L,72,175,23.73167438,0.232,36
Jose Cruz,L,72,170,23.05362654,0.284,165
Sal Bando,R,72,195,26.44386574,0.254,242
Pat Corrales,R,72,180,24.40972222,0.216,4
Duane Josephson,R,72,190,25.7658179,0.258,23
Duane Walker,L,72,185,25.08777006,0.229,24
Roger Freed,R,72,190,25.7658179,0.245,22
Rod Carew,L,72,170,23.05362654,0.328,92
Bob Davis,R,72,180,24.40972222,0.197,6
Toby Harrah,R,72,175,23.73167438,0.264,195
Cesar Geronimo,L,72,165,22.3755787,0.258,51
Graig Nettles,L,72,180,24.40972222,0.248,390
Mike Easler,L,72,190,25.7658179,0.293,118
Ron Hunt,R,72,186,25.22337963,0.273,39
Joe Keough,L,72,185,25.08777006,0.246,9
Tony Solaita,L,72,210,28.47800926,0.255,50
Joe Foy,R,72,215,29.1560571,0.248,58
Rafael Vasquez,R,72,160,21.69753086,0,0
Marv Breeding,R,72,175,23.73167438,0.25,7
Joe Horlen,R,72,170,23.05362654,0.134,0
Glenn Burke,R,72,195,26.44386574,0.237,2
Ted Kubiak,B,72,175,23.73167438,0.231,13
George Vukovich,L,72,198,26.85069444,0.268,27
Paul Blair,R,72,168,22.78240741,0.25,134
Al Oliver,L,72,195,26.44386574,0.303,219
Carmen Fanzone,R,72,200,27.12191358,0.224,20
Milt May,L,72,190,25.7658179,0.263,77
Jim Nettles,L,72,186,25.22337963,0.22,16
Chris Cannizzaro,R,72,190,25.7658179,0.235,18
Danny Thompson,R,72,183,24.81655093,0.248,15
Bill Fahey,L,72,200,27.12191358,0.241,7
Bernie Allen,L,72,175,23.73167438,0.239,73
Claudell Washington,L,72,190,25.7658179,0.278,164
Ken Reitz,R,72,180,24.40972222,0.26,68
Dan Briggs,L,72,180,24.40972222,0.195,12
Kevin Bell,R,72,195,26.44386574,0.222,13
Steve Yeager,R,72,190,25.7658179,0.228,102
Derrel Thomas,B,72,160,21.69753086,0.249,43
Ike Brown,R,72,190,25.7658179,0.256,20
Manny Sanguillen,R,72,193,26.1726466,0.296,65
Roy Branch,R,72,175,23.73167438,0,0
Frank Fernandez,R,72,185,25.08777006,0.199,39
Steve Brye,R,72,190,25.7658179,0.258,30
Ron Jackson,R,72,200,27.12191358,0.259,56
Roger Metzger,B,72,165,22.3755787,0.231,5
Rufino Linares,R,72,170,23.05362654,0.27,11
Ray Webster,L,72,185,25.08777006,0.244,17
Bob Kearney,R,72,190,25.7658179,0.233,27
Al Gallagher,R,72,180,24.40972222,0.263,11
Ted Martinez,R,72,165,22.3755787,0.24,7
Jim Anderson,R,72,170,23.05362654,0.218,13
Randy Jones,R,72,178,24.13850309,0.132,0
Bob Veselic,R,72,175,23.73167438,0,0
Jim Sundberg,R,72,190,25.7658179,0.248,95
Lenny Faedo,R,72,170,23.05362654,0.251,5
John Lowenstein,L,72,175,23.73167438,0.253,116
Joe Hague,L,72,195,26.44386574,0.239,40
Bob Molinaro,L,72,190,25.7658179,0.264,14
Tim Foli,R,72,179,24.27411265,0.251,25
Alan Knicely,R,72,190,25.7658179,0.213,12
Juan Marichal,R,72,185,25.08777006,0.165,4
Vida Blue,B,72,189,25.63020833,0.104,4
Stan Papi,R,72,170,23.05362654,0.218,7
Bob Dernier,R,72,160,21.69753086,0.255,23
John Milner,L,72,185,25.08777006,0.249,131
Chris Bando,B,72,195,26.44386574,0.227,27
Bill Buckner,L,72,185,25.08777006,0.289,174
Dewey Robinson,R,72,180,24.40972222,0,0
Darrell Porter,L,72,193,26.1726466,0.247,188
Carl Morton,R,72,200,27.12191358,0.156,7
Gary Gray,R,72,187,25.3589892,0.24,24
Bobby Clark,R,72,190,25.7658179,0.239,19
Jim Price,R,72,192,26.03703704,0.214,18
Tony Cloninger,R,72,210,28.47800926,0.192,11
Keith Hernandez,L,72,180,24.40972222,0.296,162
Willie Upshaw,L,72,185,25.08777006,0.262,123
Dane Iorg,L,72,180,24.40972222,0.276,14
Gene Richards,L,72,175,23.73167438,0.29,26
Bill Mooneyham,R,72,175,23.73167438,0,0
Mike Fiore,L,72,175,23.73167438,0.227,13
Miguel Dilone,B,72,160,21.69753086,0.265,6
Duane Kuiper,L,72,175,23.73167438,0.271,1
Ken Retzer,L,72,185,25.08777006,0.264,14
Jerry Royster,R,72,165,22.3755787,0.249,40
Joel Youngblood,R,72,180,24.40972222,0.265,80
Reggie Jackson,L,72,195,26.44386574,0.262,563
Rodney Scott,B,72,160,21.69753086,0.236,3
Jerry McNertney,R,72,180,24.40972222,0.237,27
Larry Milbourne,B,72,161,21.83314043,0.254,11
R.J. Reynolds,B,72,190,25.7658179,0.267,35
Paul Popovich,B,72,175,23.73167438,0.233,14
Doug Clemens,L,72,180,24.40972222,0.229,12
Luis Aponte,R,72,185,25.08777006,0,0
Orlando Mercado,R,72,180,24.40972222,0.199,7
De Wayne Buice,R,72,170,23.05362654,0,0
Ty Cline,L,72,170,23.05362654,0.238,6
Jimmie Hall,L,72,175,23.73167438,0.254,121
Joe Lis,R,72,175,23.73167438,0.233,32
Jim Holt,L,72,180,24.40972222,0.265,19
Wallace Johnson,B,72,173,23.46045525,0.255,5
Eddie Leon,R,72,170,23.05362654,0.236,24
Keith Moreland,R,72,190,25.7658179,0.279,121
Alex Johnson,R,72,205,27.79996142,0.288,78
Dave Edwards,R,72,170,23.05362654,0.237,14
Ron Roenicke,B,72,180,24.40972222,0.238,17
Doug Griffin,R,72,160,21.69753086,0.245,7
Steve Blass,R,72,165,22.3755787,0.172,1
Chet Lemon,R,72,190,25.7658179,0.273,215
Phil Mankowski,L,72,180,24.40972222,0.264,8
Cleon Jones,R,72,185,25.08777006,0.281,93
Joaquin Andujar,B,72,170,23.05362654,0.127,5
Mike Lum,L,72,180,24.40972222,0.247,90
Dale Berra,R,72,180,24.40972222,0.236,49
Greg Pryor,R,72,180,24.40972222,0.25,14
Jim Traber,L,72,194,26.30825617,0.227,27
Mark Souza,L,72,180,24.40972222,0,0
Steve Kemp,L,72,195,26.44386574,0.278,130
Mark Ciardi,R,72,180,24.40972222,0,0
Dennis Burtt,R,72,180,24.40972222,0,0
Mike Hargrove,L,72,195,26.44386574,0.29,80
Bill Paschall,R,72,175,23.73167438,0,0
John Bohnet,B,72,175,23.73167438,0,0
Rick Renick,R,72,188,25.49459877,0.221,20
Jeff Torborg,R,72,195,26.44386574,0.214,8
Al Weis,B,72,160,21.69753086,0.219,7
Rick Auerbach,R,72,165,22.3755787,0.22,9
Howard Bailey,R,72,195,26.44386574,0,0
Bob Davidson,R,72,185,25.08777006,0,0
John Flinn,R,72,175,23.73167438,0,0
Todd Cruz,R,72,175,23.73167438,0.22,34
Bob Heise,R,72,175,23.73167438,0.247,1
Mike Cubbage,L,72,180,24.40972222,0.258,34
Lou Piniella,R,72,182,24.68094136,0.291,102
Andres Mora,R,72,180,24.40972222,0.223,27
Julio Gotay,R,72,180,24.40972222,0.26,6
Bruce Taylor,R,72,178,24.13850309,0,0
Steve Barber,L,72,195,26.44386574,0.115,5
Rich Wortham,R,72,185,25.08777006,0,0
Phil Bradley,R,72,185,25.08777006,0.286,78
Mel Stottlemyre,R,72,190,25.7658179,0,0
Luis Tiant,R,72,180,24.40972222,0.164,5
Bruce Ellingsen,L,72,180,24.40972222,0,0
Danny Cater,R,72,170,23.05362654,0.276,66
Clay Dalrymple,L,72,190,25.7658179,0.233,55
Reggie Smith,B,72,180,24.40972222,0.287,314
Mark Wagner,R,72,165,22.3755787,0.243,3
Ray Culp,R,72,200,27.12191358,0.123,1
Jim Rooker,R,72,195,26.44386574,0.201,7
Catfish Hunter,R,72,190,25.7658179,0.226,6
Mario Soto,R,72,174,23.59606481,0.132,1
Hank Allen,R,72,190,25.7658179,0.241,6
Willie Montanez,L,72,170,23.05362654,0.275,139
Rob Andrews,R,72,185,25.08777006,0.251,3
Bob Barton,R,72,175,23.73167438,0.226,9
Leron Lee,L,72,196,26.57947531,0.25,31
Tom McCarthy,R,72,180,24.40972222,0,0
Steve Ontiveros,B,72,185,25.08777006,0.274,24
Darrell Brown,B,72,184,24.95216049,0.274,1
Roy Foster,R,72,185,25.08777006,0.253,45
Denis Menke,R,72,185,25.08777006,0.25,101
Ron LeFlore,R,72,200,27.12191358,0.288,59
Bill Russell,R,72,175,23.73167438,0.263,46
Gene Tenace,R,72,190,25.7658179,0.241,201
Rich Dauer,R,72,180,24.40972222,0.257,43
Rowland Office,L,72,170,23.05362654,0.259,32
Ron Davis,R,72,175,23.73167438,0.233,10
